,movie_id,similar_movie_id
0,512195,22907
1,512195,27205
2,512195,36648
3,512195,22804
4,512195,29564
5,585245,22971
6,585245,32657
7,585245,35052
8,585245,24418
9,585245,24420
10,654974,78080
11,654974,91417
12,654974,79113
13,654974,81188
14,654974,634
15,550988,49530
16,550988,59965
17,550988,72478
18,550988,68718
19,550988,68735
20,876716,35056
21,876716,27582
22,876716,49021
23,876716,76285
24,876716,73881
25,639721,72105
26,639721,71618
27,639721,71668
28,639721,71689
29,459151,22821
30,459151,38700
31,459151,15969
32,459151,16859
33,459151,19286
34,871964,38700
35,871964,38780
36,871964,59118
37,871964,72213
38,871964,71859
39,425909,49524
40,425909,49530
41,425909,62213
42,425909,82657
43,425909,65086
44,589754,576784
45,589754,775
46,589754,742922
47,589754,403636
48,508943,72105
49,508943,71689
50,508943,73723
51,508943,72559
52,508943,82690
53,805411,16538
54,805411,25538
55,805411,25195
56,805411,49022
57,805411,50124
58,451048,756
59,451048,792
60,451048,585
61,451048,597
62,451048,600
63,568124,73723
64,568124,82690
65,568124,76492
66,568124,93456
67,568124,82702
68,762469,75258
69,762469,75624
70,762469,85872
71,762469,75761
72,762469,74018
73,877183,15999
74,877183,31967
75,877183,51162
76,877183,73881
77,877183,50393
78,675445,26528
79,675445,30675
80,675445,25195
81,675445,22949
82,379686,22881
83,379686,22954
84,379686,33217
85,379686,27259
86,379686,25472
87,846167,72105
88,846167,72190
89,846167,71618
90,846167,71668
91,846167,71689
92,337404,49530
93,337404,62211
94,337404,66125
95,337404,81446
96,337404,87827
97,760747,26515
98,760747,22970
99,760747,23202
100,760747,22683
101,760747,19908
102,772436,62177
103,772436,67900
104,772436,54318
105,772436,64807
106,772436,65759
107,529203,62177
108,529203,82881
109,529203,81188
110,529203,80321
111,529203,95610
112,879163,58574
113,879163,75624
114,879163,75656
115,879163,85872
116,879163,75761
117,726684,22855
118,726684,37100
119,726684,30061
120,726684,24428
121,726684,30675
122,809065,22949
123,809065,22970
124,809065,23202
125,809065,33217
126,809065,32856
127,812204,72105
128,812204,71618
129,812204,71668
130,812204,71689
131,812204,83088
132,613098,75624
133,613098,85872
134,613098,75761
135,613098,74018
136,613098,74465
137,324857,62177
138,324857,65759
139,324857,68718
140,324857,68721
141,324857,68735
142,755812,71676
143,755812,76025
144,755812,75656
145,755812,68721
146,755812,72387
147,711475,22803
148,711475,22843
149,711475,22881
150,711475,22907
151,711475,22947
152,354912,30636
153,354912,18377
154,354912,41439
155,354912,34647
156,354912,28597
157,843906,23202
158,843906,32657
159,843906,32916
160,843906,22620
161,843906,27022
162,813258,77887
163,813258,76122
164,813258,76535
165,813258,76492
166,813258,83564
167,641501,75761
168,641501,75780
169,641501,63492
170,641501,49529
171,641501,77877
172,840756,72105
173,840756,71618
174,840756,71668
175,840756,71689
176,840756,64328
177,573164,75258
178,573164,76589
179,573164,75624
180,573164,75629
181,573164,85872
182,852663,106164
183,852663,137106
184,852663,280217
185,852663,368304
186,852663,274862
187,846214,17414
188,846214,43838
189,846214,32195
190,846214,71068
191,587807,49519
192,587807,55301
193,587807,62206
194,587807,62211
195,587807,76617
196,597316,15906
197,597316,15016
198,597316,335360
199,597316,201676
200,885458,22949
201,885458,22970
202,885458,23202
203,885458,33217
204,885458,32856
205,585083,62177
206,585083,82881
207,585083,73935
208,585083,81188
209,585083,80321
210,508442,62177
211,508442,82881
212,508442,73935
213,508442,81188
214,508442,80321
215,347201,75624
216,347201,75629
217,347201,73245
218,347201,66105
219,347201,83088
220,729720,26528
221,729720,30675
222,729720,25195
223,729720,22907
224,729720,22949
225,617502,75258
226,617502,76589
227,617502,65218
228,617502,65291
229,617502,75802
230,482321,71880
231,482321,88042
232,482321,93456
233,482321,91586
234,482321,116149
235,400160,73723
236,400160,49519
237,400160,62211
238,400160,57800
239,400160,64328
240,449406,62177
241,449406,65759
242,449406,82881
243,449406,81188
244,449406,80321
245,522478,26515
246,522478,26528
247,522478,30675
248,522478,25195
249,522478,22949
250,834404,10715
251,834404,2300
252,834404,9593
253,834404,843906
254,550205,36218
255,550205,34636
256,550205,27793
257,550205,23629
258,550205,27022
259,531219,26515
260,531219,22971
261,531219,26648
262,531219,32657
263,531219,27793
264,763873,58595
265,763873,76122
266,763873,75258
267,763873,76535
268,763873,75624
269,857702,72105
270,857702,72190
271,857702,71618
272,857702,71668
273,857702,71689
274,613583,26528
275,613583,25195
276,613583,22949
277,613583,22970
278,613583,23202
279,623135,76649
280,623135,95
281,623135,568
282,623135,597
283,623135,33196
284,678580,62177
285,678580,67900
286,678580,64807
287,678580,65759
288,678580,91417
289,768744,76589
290,768744,75624
291,768744,75629
292,768744,73245
293,768744,59965
294,43074,16859
295,43074,27769
296,43074,31170
297,43074,17111
298,43074,23437
299,800497,22804
300,800497,22855
301,800497,22970
302,800497,26648
303,800497,23202
304,773660,26528
305,773660,25195
306,773660,22947
307,773660,22949
308,773660,22970
309,335797,73723
310,335797,49519
311,335797,62211
312,335797,57800
313,335797,82690
314,293660,76122
315,293660,75258
316,293660,76535
317,293660,76589
318,293660,75736
319,680319,22949
320,680319,22970
321,680319,23202
322,680319,33217
323,680319,32856
324,741074,62177
325,741074,82881
326,741074,81188
327,741074,80321
328,741074,82690
329,763532,34806
330,763532,34016
331,763532,20048
332,763532,37056
333,763532,32856
334,569094,22843
335,569094,22855
336,569094,36218
337,569094,37100
338,569094,30061
339,532067,83088
340,532067,83090
341,532067,83091
342,532067,73245
343,532067,82657
344,8871,73723
345,8871,78080
346,8871,91417
347,8871,79113
348,8871,81188
349,784500,58574
350,784500,58595
351,784500,76122
352,784500,76163
353,784500,75258
354,410113,65759
355,410113,64328
356,410113,82695
357,410113,109445
358,410113,85373
359,330457,62177
360,330457,68728
361,330457,68735
362,330457,68737
363,330457,79707
364,811367,72571
365,811367,77887
366,811367,76122
367,811367,76535
368,811367,80274
369,785533,91417
370,785533,78080
371,785533,81188
372,785533,95610
373,785533,71668
374,572154,79707
375,572154,113082
376,572154,83088
377,572154,83090
378,572154,83091
379,882812,26528
380,882812,25195
381,882812,22949
382,882812,22970
383,882812,23202
384,585,75761
385,585,74513
386,585,73723
387,585,74997
388,585,49519
389,214756,58574
390,214756,74997
391,214756,49519
392,214756,55301
393,214756,54113
394,4564,22949
395,4564,26648
396,4564,26338
397,4564,16538
398,4564,16553
399,774456,37834
400,774456,27582
401,774456,59965
402,774456,760
403,774456,594
404,883648,72105
405,883648,71618
406,883648,71668
407,883648,71689
408,883648,64328
409,800823,65754
410,800823,83770
411,800823,97020
412,800823,88005
413,800823,109428
414,384018,22804
415,384018,22824
416,384018,22881
417,384018,22947
418,384018,22949
419,607259,37135
420,607259,41210
421,607259,72213
422,607259,11002
423,607259,10160
424,786705,33217
